backlog,repo,,,
backlog,planning,,,
backlog,backburner,,,
backlog,log list,,,
backlog,logged database,,,
backlog,to-do list,,,
bugs,issues,,,
bugs,errors,,,
bugs,problems,,,
bugs,errors,,,
bugs,mistakes,,,
bugs,errors,,,
bugs,problems,,,
burndown chart,project status,,,
burndown chart,analytics,,,
burndown chart,progress chart,,,
burndown chart,completed tasks,,,
burndown chart,work metrics,,,
burndown charts,progress,,,
code,module,,,
code,programs,,,
code,software,,,
code,implementation,,,
code,files,,,
code,classes,,,
code,program,,,
code,software,,,
committed,checked-in,,,
committed,submitted,,,
committed,checked-in,,,
committed,posted,,,
committed,finalized,,,
committed ,submitted,,,
committed ,added,,,
deployed,delivered,,,
deployed,submitted,,,
deployed,launched,,,
deployed,shipped,,,
deployed,completed,,,
deployed,delivered,,,
deployed,finished,,,
deployed,implemented,,,
deployed,installed,,,
developers,programmers,,,
developers,engineers,,,
developers,members,,,
developers,team members,,,
developers,implementing teams,,,
developers,people,,,
developers,workers,,,
developers,engineers,,,
developers,programmers,,,
developers,team members,,,
epics,business goals,,,
epics,user stories,,,
epics,use cases,,,
epics,features,,,
epics,stages,,,
epics,themes,,,
iteration,spring,,,
bugs,defects,,,
bugs,problems,,,
bugs,errors,,,
bugs,errors,,,
reported bugs,failures,,,
reported bugs,omissions,,,
reported bugs,mistakes,,,
reported bugs,addressable error,,,
reported bugs,discovered problems,,,
source code,programming,,,
source code,artifacts,,,
sprint,release,,,
sprint,release,,,
sprint,run,,,
sprint,work period,,,
sprint,run,,,
sprint,work period,,,
sprint,phase,,,
sprint,iteration,,,
tasks,epics,,,
tasks,features,,,
tasks,features,,,
tasks,jobs,,,
tasks,jobs,,,
tasks,stories,,,
tasks,activities,,,
tasks,responsibilities,,,
tasks,workd,,,
user stories,BDDs,,,
user stories,features,,,
user stories,requirements,,,
user stories,usage scenarios,,,
user stories,features,,,
user stories,use cases,,,
user stories,epics,,,
user stories,scenarios,,,
user stories,user requirements,,,
